sub          task      run    dummy_scans    fallback_registration    fd_mean              fd_perc              mean_gm_tsnr        scan_start    sdc_method
-----------  --------  -----  -------------  -----------------------  -------------------  -------------------  ------------------  ------------  ------------
gutslei0307  empmovie  1      0              False                    0.08853474332615383  0.0                  116.62650126120823  0.0           None
gutslei0307  sddt      2      0              False                    0.08438196656378105  0.0                  115.38307032774455  0.0           None
gutslei0307  reward    1      0              False                    0.11043403736035501  1.7751479289940828   122.8778465211028   0.0           None
gutslei0307  reward    2      0              False                    0.09665519427810648  0.591715976331361    120.50769569334453  0.0           None
gutslei0307  sddt      1      0              False                    0.09035830278159201  0.0                  106.64936503593476  0.0           None
gutslei0307  sddt      3      0              False                    0.08960911618840577  0.0                  134.84577779839944  0.0           None
gutslei0302  sddt      1      0              False                    0.122649861700675    0.0                  127.12878751473018  0.0           None
gutslei0302  empmovie  1      0              False                    0.23926698070769228  6.923076923076923    79.11927639958907   0.0           None
gutslei0302  reward    1      0              False                    0.1716229497805917   4.142011834319527    105.24454002820484  0.0           None
gutslei0302  sddt      3      0              False                    0.3247902995652174   15.217391304347828   70.06631398070552   0.0           None
gutslei0302  reward    2      0              False                    0.2936721788284023   11.242603550295858   77.27185251356916   0.0           None
gutslei0302  sddt      2      0              False                    0.17875314781691537  1.4925373134328357   88.78757259733123   0.0           None
gutslei0301  reward    1      0              False                    0.13661430457396445  1.183431952662722    117.07919510867087  0.0           None
gutslei0301  reward    2      0              False                    0.20385148319047336  4.733727810650888    89.32470963955195   0.0           None
gutslei0301  sddt      1      0              False                    0.13179719689054725  0.4975124378109453   108.0730154849843   0.0           None
gutslei0301  sddt      3      0              False                    0.14531802497826085  0.7246376811594203   116.10721332545243  0.0           None
gutslei0301  sddt      2      0              False                    0.1346127512577114   0.0                  117.95119105042426  0.0           None
gutslei0301  empmovie  1      0              False                    0.16065360527669226  0.0                  77.08893846637868   0.0           None
gutslei0299  reward    1      0              False                    0.1452951978590532   1.183431952662722    114.12538570586418  0.0           None
gutslei0299  reward    2      0              False                    0.18375914072189348  1.183431952662722    119.65020651003803  0.0           None
gutslei0299  sddt      1      0              False                    0.11597291164378107  0.0                  128.27761964560656  0.0           None
gutslei0299  empmovie  1      0              False                    0.13076900683923076  0.0                  118.73682325557633  0.0           None
gutslei0299  sddt      2      0              False                    0.17379187654791045  2.4875621890547266   99.51663647059647   0.0           None
gutslei0297  empmovie  1      0              False                    0.12574469302999997  0.0                  105.68107774133446  0.0           None
gutslei0299  sddt      3      0              False                    0.2082393684084058   4.3478260869565215   105.92835921215695  0.0           None
gutslei0297  reward    1      0              False                    0.1093906111674556   0.0                  120.64069689589046  0.0           None
gutslei0297  sddt      1      0              False                    0.11619264069651739  0.0                  119.2733727834253   0.0           None
gutslei0297  sddt      2      0              False                    0.10010864290547263  0.0                  120.95568320605881  0.0           None
gutslei0297  sddt      3      0              False                    0.10454620025507244  0.0                  122.65031247746442  0.0           None
gutslei0297  reward    2      0              False                    0.10439205585556212  0.0                  117.42286615193727  0.0           None
gutslei0283  reward    1      0              False                    0.2353443864378698   5.9171597633136095   96.61400627650437   0.0           None
gutslei0283  sddt      2      0              False                    0.1481717281478109   1.4925373134328357   107.64774395177058  0.0           None
gutslei0249  empmovie  1      0              False                    0.1614928345461538   4.615384615384616    93.87583734330367   0.0           None
gutslei0283  sddt      1      0              False                    0.13165145024218902  0.4975124378109453   117.66294697313532  0.0           None
gutslei0249  reward    1      0              False                    0.17521005999408282  5.325443786982249    89.9119945707739    0.0           None
gutslei0283  empmovie  1      0              False                    0.13433614448461537  0.0                  114.48419577318641  0.0           None
gutslei0283  sddt      3      0              False                    0.10206645776521737  0.0                  128.1347639481248   0.0           None
gutslei0283  reward    2      0              False                    0.27019509401183434  7.6923076923076925   88.71630195778754   0.0           None
gutslei0249  reward    2      0              False                    0.12682702478106506  2.366863905325444    89.39624906260471   0.0           None
gutslei0249  sddt      1      0              False                    0.17482993190547258  5.472636815920398    92.00957740014353   0.0           None
gutslei0249  sddt      2      0              False                    0.14671839175184076  4.477611940298507    98.15714547809566   0.0           None
gutslei0244  sddt      3      0              False                    0.11521863595652174  0.0                  128.84187859944788  0.0           None
gutslei0249  sddt      3      0              False                    0.17455049150710142  4.3478260869565215   93.97681775530415   0.0           None
gutslei0244  empmovie  1      0              False                    0.1420264401653846   0.38461538461538464  105.66605417522396  0.0           None
gutslei0244  reward    2      0              False                    0.10391080434911239  0.591715976331361    125.03374687380838  0.0           None
gutslei0244  sddt      2      0              False                    0.09642873468945272  0.0                  143.27294182903347  0.0           None
gutslei0244  reward    1      0              False                    0.1383823439210059   0.591715976331361    90.83105776132479   0.0           None
gutslei0244  sddt      1      0              False                    0.09987169017114424  0.0                  121.86744299546298  0.0           None
gutslei0234  reward    2      0              False                    0.10788220004923077  0.0                  112.84642795185546  0.0           None
gutslei0234  empmovie  1      0              False                    0.10874782733615383  0.0                  97.80242795068715   0.0           None
gutslei0234  sddt      1      0              False                    0.11435066367562184  0.4975124378109453   99.90379899966871   0.0           None
gutslei0234  sddt      2      0              False                    0.10054264807216551  0.0                  118.61725440532608  0.0           None
gutslei0234  sddt      3      0              False                    0.10213070211217387  0.0                  119.33089068594298  0.0           None
gutslei0234  reward    1      0              False                    0.1165279986426035   0.591715976331361    104.91763579700071  0.0           None
gutslei0226  reward    2      0              False                    0.0893824882970414   0.591715976331361    122.2731526067865   0.0           None
gutslei0226  sddt      1      0              False                    0.0787576553731343   0.0                  118.73042426519221  0.0           None
gutslei0226  sddt      2      0              False                    0.10377402199154226  0.4975124378109453   108.61649724883951  0.0           None
gutslei0226  reward    1      0              False                    0.08880015934319524  0.0                  121.67114440032056  0.0           None
gutslei0226  sddt      3      0              False                    0.10019823959623186  0.7246376811594203   131.28387028006443  0.0           None
gutslei0226  empmovie  1      0              False                    0.1448895699230769   1.9230769230769231   93.67244743291243   0.0           None
gutslei0224  reward    2      0              False                    0.19323365507337276  2.9585798816568047   115.00568491556587  0.0           None
gutslei0224  sddt      1      0              False                    1.034838368360199    46.766169154228855   54.508999140197204  0.0           None
gutslei0224  empmovie  1      0              False                    0.1937015818         1.153846153846154    87.93779940730997   0.0           None
gutslei0224  sddt      2      0              False                    0.24887999970646763  5.970149253731343    84.86791937581027   0.0           None
gutslei0224  sddt      3      0              False                    0.1636636118         0.0                  117.68504047429792  0.0           None
gutslei0224  reward    1      0              False                    0.18312379625207098  0.591715976331361    103.61612042367733  0.0           None
gutslei0182  reward    2      0              False                    0.1375229827455621   0.591715976331361    129.33524070490765  0.0           None
gutslei0182  empmovie  1      0              False                    0.12630134393999995  0.0                  105.7276003831098   0.0           None
gutslei0182  reward    1      0              False                    0.12894520839526624  0.0                  128.80695654443275  0.0           None
gutslei0182  sddt      1      0              False                    0.1230083895531343   0.0                  120.65766691186332  0.0           None
gutslei0182  sddt      2      0              False                    0.12459165486666665  0.0                  132.80736810960283  0.0           None
gutslei0182  sddt      3      0              False                    0.1546219351891304   1.4492753623188406   104.96424260979906  0.0           None
gutslei0180  reward    2      0              False                    0.10252728540721891  0.0                  125.99889243323149  0.0           None
gutslei0180  reward    1      0              False                    0.09933969338792899  0.0                  133.85317912357226  0.0           None
gutslei0180  empmovie  1      0              False                    0.11708718662076918  0.0                  108.91680177327883  0.0           None
gutslei0180  sddt      1      0              False                    0.13416990638706464  0.0                  97.38101247679238   0.0           None
gutslei0180  sddt      2      0              False                    0.11583499952885569  0.4975124378109453   114.8798821333683   0.0           None
gutslei0180  sddt      3      0              False                    0.11385999069855071  0.7246376811594203   123.7342640134038   0.0           None
gutslei0177  reward    1      0              False                    0.14343954324260352  0.0                  100.73662691847656  0.0           None
gutslei0177  empmovie  1      0              False                    0.1894732583808461   1.5384615384615385   96.612910823372     0.0           None
gutslei0177  reward    2      0              False                    0.1261205638301775   0.591715976331361    111.9790801640184   0.0           None
gutslei0177  sddt      1      0              False                    0.13776806761004973  0.0                  119.7715171613952   0.0           None
gutslei0177  sddt      2      0              False                    0.14518231278606963  0.0                  109.30396427061632  0.0           None
gutslei0177  sddt      3      0              False                    0.16635532316811588  0.0                  106.49867640832107  0.0           None
gutslei0176  reward    1      0              False                    0.07934828221893488  0.0                  128.2090504746577   0.0           None
gutslei0176  empmovie  1      0              False                    0.08140982285923073  0.0                  117.69503169937352  0.0           None
gutslei0176  reward    2      0              False                    0.08773989409467454  0.591715976331361    124.2969162545605   0.0           None
gutslei0176  sddt      1      0              False                    0.08903600780099498  0.0                  113.30704721324037  0.0           None
