EV_name,include,temporal_derivative
dropout_text_events,1,1
extra_keypress_events,1,1
fixation_ISI_events,0,1
fixation_ITI_events,0,1
instruction_screen_events,1,1
outcome_Conflict_Less_money_events,1,1
outcome_Conflict_Less_pain_events,1,1
outcome_Conflict_More_money_events,1,1
outcome_Conflict_More_pain_events,1,1
outcome_Conflict_Your_choice_events,1,1
outcome_No_conflict_Less_money_events,1,1
outcome_No_conflict_Less_pain_events,1,1
outcome_No_conflict_More_money_events,1,1
outcome_No_conflict_More_pain_events,1,1
outcome_No_conflict_Your_choice_events,1,1
recall_keypress_events,1,1
recall_question_events,1,1
run-01_events,1,0
run-02_events,1,0
run-03_events,1,0
run-04_events,1,0
run-05_events,1,0
run-06_events,1,0
run-07_events,1,0
run-08_events,1,0
run-09_events,1,0
run-10_events,1,0
syms_dropout_events,1,1
syms_instr_Conflict_Less_money_events,1,1
syms_instr_Conflict_Less_pain_events,1,1
syms_instr_Conflict_More_money_events,1,1
syms_instr_Conflict_More_pain_events,1,1
syms_instr_Conflict_Your_choice_events,1,1
syms_instr_No_conflict_Less_money_events,1,1
syms_instr_No_conflict_Less_pain_events,1,1
syms_instr_No_conflict_More_money_events,1,1
syms_instr_No_conflict_More_pain_events,1,1
syms_instr_No_conflict_Your_choice_events,1,1
valid_keypress_events,1,1
